query_id,rank,doc_id,score
test-environment-aeghhgwpe-pro02a,1,test-environment-aeghhgwpe-pro02b,0.818758
test-environment-aeghhgwpe-pro02a,2,test-environment-aeghhgwpe-pro01b,0.657664
test-environment-aeghhgwpe-pro02a,3,test-environment-aeghhgwpe-pro04b,0.656686
test-environment-aeghhgwpe-pro02a,4,test-environment-aeghhgwpe-con01b,0.653189
test-environment-aeghhgwpe-pro02a,5,test-environment-aeghhgwpe-con01a,0.633996
test-environment-aeghhgwpe-pro02a,6,training-environment-achbessbp-con01b,0.593733
test-environment-aeghhgwpe-pro02a,7,test-environment-aeghhgwpe-pro03b,0.589257
test-environment-aeghhgwpe-pro02a,8,test-environment-aeghhgwpe-pro03a,0.568998
test-environment-aeghhgwpe-pro02a,9,test-environment-aeghhgwpe-pro01a,0.558080
test-environment-aeghhgwpe-pro02a,10,test-environment-aeghhgwpe-con02a,0.525127
test-environment-aeghhgwpe-pro01a,1,test-environment-aeghhgwpe-pro01b,0.794704
test-environment-aeghhgwpe-pro01a,2,training-environment-aelmmhbahr-pro04b,0.741067
test-environment-aeghhgwpe-pro01a,3,test-philosophy-apessghwba-pro01b,0.728806
test-environment-aeghhgwpe-pro01a,4,training-environment-ahwbsawhnbsf-pro02a,0.716145
test-environment-aeghhgwpe-pro01a,5,test-philosophy-apessghwba-con05a,0.704729
test-environment-aeghhgwpe-pro01a,6,training-environment-ahwbsawhnbsf-con05a,0.696162
test-environment-aeghhgwpe-pro01a,7,training-environment-aelmmhbahr-con01b,0.684414
test-environment-aeghhgwpe-pro01a,8,test-philosophy-apessghwba-pro02b,0.676796
test-environment-aeghhgwpe-pro01a,9,validation-environment-rahwbuaosae-pro03a,0.672333
test-environment-aeghhgwpe-pro01a,10,test-environment-aeghhgwpe-con01a,0.665467
test-environment-aeghhgwpe-pro03a,1,test-environment-aeghhgwpe-pro03b,0.700978
test-environment-aeghhgwpe-pro03a,2,test-environment-aeghhgwpe-pro04b,0.564074
test-environment-aeghhgwpe-pro03a,3,test-environment-aeghhgwpe-con01a,0.561794
test-environment-aeghhgwpe-pro03a,4,test-environment-aeghhgwpe-con02a,0.543778
test-environment-aeghhgwpe-pro03a,5,test-environment-aeghhgwpe-pro02a,0.527841
test-environment-aeghhgwpe-pro03a,6,test-environment-aeghhgwpe-con02b,0.521669
test-environment-aeghhgwpe-pro03a,7,training-health-mthwhwbpd-pro01a,0.511797
test-environment-aeghhgwpe-pro03a,8,test-environment-aeghhgwpe-pro02b,0.507983
test-environment-aeghhgwpe-pro03a,9,validation-health-dhwiftj-pro02b,0.505738
test-environment-aeghhgwpe-pro03a,10,test-environment-aeghhgwpe-pro01b,0.484610
test-environment-aeghhgwpe-pro04a,1,test-environment-aeghhgwpe-pro04b,0.720744
test-environment-aeghhgwpe-pro04a,2,test-environment-aeghhgwpe-con01a,0.525442
test-environment-aeghhgwpe-pro04a,3,test-environment-aeghhgwpe-pro03a,0.503308
test-environment-aeghhgwpe-pro04a,4,test-environment-aeghhgwpe-pro01a,0.502447
test-environment-aeghhgwpe-pro04a,5,test-environment-aeghhgwpe-pro01b,0.498432
test-environment-aeghhgwpe-pro04a,6,test-environment-aeghhgwpe-pro02a,0.492268
test-environment-aeghhgwpe-pro04a,7,training-environment-ahwbsawhnbsf-con05a,0.483958
test-environment-aeghhgwpe-pro04a,8,training-environment-ahwbsawhnbsf-pro04a,0.480130
test-environment-aeghhgwpe-pro04a,9,test-environment-aeghhgwpe-pro02b,0.459636
test-environment-aeghhgwpe-pro04a,10,test-environment-aeghhgwpe-pro03b,0.450630
test-environment-aeghhgwpe-con02a,1,test-environment-aeghhgwpe-con02b,0.731626
test-environment-aeghhgwpe-con02a,2,test-environment-aeghhgwpe-pro03a,0.528096
test-environment-aeghhgwpe-con02a,3,test-environment-aeghhgwpe-pro03b,0.510101
test-environment-aeghhgwpe-con02a,4,test-environment-aeghhgwpe-pro02b,0.428034
test-environment-aeghhgwpe-con02a,5,test-environment-aeghhgwpe-pro02a,0.417794
test-environment-aeghhgwpe-con02a,6,training-health-mthwhwbpd-pro01a,0.412096
test-environment-aeghhgwpe-con02a,7,test-environment-aeghhgwpe-con01b,0.399193
test-environment-aeghhgwpe-con02a,8,test-environment-aeghhgwpe-pro04b,0.390441
test-environment-aeghhgwpe-con02a,9,test-environment-aeghhgwpe-con01a,0.383196
test-environment-aeghhgwpe-con02a,10,test-science-sghwbdgmo-con02a,0.371185
test-environment-aeghhgwpe-con03a,1,training-environment-achbessbp-con03a,0.548453
test-environment-aeghhgwpe-con03a,2,test-environment-aeghhgwpe-con01b,0.534583
test-environment-aeghhgwpe-con03a,3,test-environment-aeghhgwpe-pro01b,0.534311
test-environment-aeghhgwpe-con03a,4,test-environment-aeghhgwpe-pro01a,0.533909
test-environment-aeghhgwpe-con03a,5,training-environment-achbessbp-pro03a,0.531039
test-environment-aeghhgwpe-con03a,6,training-environment-aelmmhbahr-con01a,0.507565
test-environment-aeghhgwpe-con03a,7,validation-environment-rahwbuaosae-pro01b,0.504054
test-environment-aeghhgwpe-con03a,8,training-environment-achbessbp-pro02b,0.500996
test-environment-aeghhgwpe-con03a,9,test-environment-aeghhgwpe-con01a,0.489924
test-environment-aeghhgwpe-con03a,10,training-environment-achbessbp-con01b,0.486526
test-environment-aeghhgwpe-con01a,1,test-environment-aeghhgwpe-pro01b,0.776591
test-environment-aeghhgwpe-con01a,2,test-environment-aeghhgwpe-con01b,0.762145
test-environment-aeghhgwpe-con01a,3,test-environment-aeghhgwpe-pro03b,0.658426
test-environment-aeghhgwpe-con01a,4,test-environment-aeghhgwpe-pro02b,0.641169
test-environment-aeghhgwpe-con01a,5,test-environment-aeghhgwpe-pro02a,0.638337
test-environment-aeghhgwpe-con01a,6,test-environment-aeghhgwpe-pro04b,0.624070
test-environment-aeghhgwpe-con01a,7,training-environment-aelmmhbahr-con01b,0.623757
test-environment-aeghhgwpe-con01a,8,test-environment-aeghhgwpe-pro03a,0.615541
test-environment-aeghhgwpe-con01a,9,test-environment-aeghhgwpe-pro01a,0.608749
