query_id,rank,doc_id,score
test-environment-aeghhgwpe-pro02a,1,test-environment-aeghhgwpe-pro02b,0.818714
test-environment-aeghhgwpe-pro02a,2,test-environment-aeghhgwpe-pro01b,0.657595
test-environment-aeghhgwpe-pro02a,3,test-environment-aeghhgwpe-pro04b,0.656648
test-environment-aeghhgwpe-pro02a,4,test-environment-aeghhgwpe-con01b,0.653203
test-environment-aeghhgwpe-pro02a,5,test-environment-aeghhgwpe-con01a,0.633929
test-environment-aeghhgwpe-pro02a,6,training-environment-achbessbp-con01b,0.593735
test-environment-aeghhgwpe-pro02a,7,test-environment-aeghhgwpe-pro03b,0.589353
test-environment-aeghhgwpe-pro02a,8,test-environment-aeghhgwpe-pro03a,0.569077
test-environment-aeghhgwpe-pro02a,9,test-environment-aeghhgwpe-pro01a,0.557981
test-environment-aeghhgwpe-pro02a,10,test-environment-aeghhgwpe-con02a,0.525166
test-environment-aeghhgwpe-pro01a,1,test-environment-aeghhgwpe-pro01b,0.794735
test-environment-aeghhgwpe-pro01a,2,training-environment-aelmmhbahr-pro04b,0.741026
test-environment-aeghhgwpe-pro01a,3,test-philosophy-apessghwba-pro01b,0.728743
test-environment-aeghhgwpe-pro01a,4,training-environment-ahwbsawhnbsf-pro02a,0.716177
test-environment-aeghhgwpe-pro01a,5,test-philosophy-apessghwba-con05a,0.704771
test-environment-aeghhgwpe-pro01a,6,training-environment-ahwbsawhnbsf-con05a,0.696091
test-environment-aeghhgwpe-pro01a,7,training-environment-aelmmhbahr-con01b,0.684448
test-environment-aeghhgwpe-pro01a,8,test-philosophy-apessghwba-pro02b,0.676780
test-environment-aeghhgwpe-pro01a,9,validation-environment-rahwbuaosae-pro03a,0.672375
test-environment-aeghhgwpe-pro01a,10,test-environment-aeghhgwpe-con01a,0.665571
test-environment-aeghhgwpe-pro03a,1,test-environment-aeghhgwpe-pro03b,0.701049
test-environment-aeghhgwpe-pro03a,2,test-environment-aeghhgwpe-pro04b,0.564026
test-environment-aeghhgwpe-pro03a,3,test-environment-aeghhgwpe-con01a,0.561850
test-environment-aeghhgwpe-pro03a,4,test-environment-aeghhgwpe-con02a,0.543808
test-environment-aeghhgwpe-pro03a,5,test-environment-aeghhgwpe-pro02a,0.527908
test-environment-aeghhgwpe-pro03a,6,test-environment-aeghhgwpe-con02b,0.521770
test-environment-aeghhgwpe-pro03a,7,training-health-mthwhwbpd-pro01a,0.511786
test-environment-aeghhgwpe-pro03a,8,test-environment-aeghhgwpe-pro02b,0.507967
test-environment-aeghhgwpe-pro03a,9,validation-health-dhwiftj-pro02b,0.505807
test-environment-aeghhgwpe-pro03a,10,test-environment-aeghhgwpe-pro01b,0.484571
test-environment-aeghhgwpe-pro04a,1,test-environment-aeghhgwpe-pro04b,0.720865
test-environment-aeghhgwpe-pro04a,2,test-environment-aeghhgwpe-con01a,0.525515
test-environment-aeghhgwpe-pro04a,3,test-environment-aeghhgwpe-pro03a,0.503344
test-environment-aeghhgwpe-pro04a,4,test-environment-aeghhgwpe-pro01a,0.502398
test-environment-aeghhgwpe-pro04a,5,test-environment-aeghhgwpe-pro01b,0.498475
test-environment-aeghhgwpe-pro04a,6,test-environment-aeghhgwpe-pro02a,0.492270
test-environment-aeghhgwpe-pro04a,7,training-environment-ahwbsawhnbsf-con05a,0.483889
test-environment-aeghhgwpe-pro04a,8,training-environment-ahwbsawhnbsf-pro04a,0.480077
test-environment-aeghhgwpe-pro04a,9,test-environment-aeghhgwpe-pro02b,0.459654
test-environment-aeghhgwpe-pro04a,10,test-environment-aeghhgwpe-pro03b,0.450531
test-environment-aeghhgwpe-con02a,1,test-environment-aeghhgwpe-con02b,0.731699
test-environment-aeghhgwpe-con02a,2,test-environment-aeghhgwpe-pro03a,0.528029
test-environment-aeghhgwpe-con02a,3,test-environment-aeghhgwpe-pro03b,0.510127
test-environment-aeghhgwpe-con02a,4,test-environment-aeghhgwpe-pro02b,0.427964
test-environment-aeghhgwpe-con02a,5,test-environment-aeghhgwpe-pro02a,0.417823
test-environment-aeghhgwpe-con02a,6,training-health-mthwhwbpd-pro01a,0.412123
test-environment-aeghhgwpe-con02a,7,test-environment-aeghhgwpe-con01b,0.399179
test-environment-aeghhgwpe-con02a,8,test-environment-aeghhgwpe-pro04b,0.390452
test-environment-aeghhgwpe-con02a,9,test-environment-aeghhgwpe-con01a,0.383257
test-environment-aeghhgwpe-con02a,10,test-science-sghwbdgmo-con02a,0.371125
test-environment-aeghhgwpe-con03a,1,training-environment-achbessbp-con03a,0.548477
test-environment-aeghhgwpe-con03a,2,test-environment-aeghhgwpe-con01b,0.534576
test-environment-aeghhgwpe-con03a,3,test-environment-aeghhgwpe-pro01b,0.534263
test-environment-aeghhgwpe-con03a,4,test-environment-aeghhgwpe-pro01a,0.533879
test-environment-aeghhgwpe-con03a,5,training-environment-achbessbp-pro03a,0.531124
test-environment-aeghhgwpe-con03a,6,training-environment-aelmmhbahr-con01a,0.507515
test-environment-aeghhgwpe-con03a,7,validation-environment-rahwbuaosae-pro01b,0.504042
test-environment-aeghhgwpe-con03a,8,training-environment-achbessbp-pro02b,0.501090
test-environment-aeghhgwpe-con03a,9,test-environment-aeghhgwpe-con01a,0.489898
test-environment-aeghhgwpe-con03a,10,training-environment-achbessbp-con01b,0.486476
test-environment-aeghhgwpe-con01a,1,test-environment-aeghhgwpe-pro01b,0.776639
test-environment-aeghhgwpe-con01a,2,test-environment-aeghhgwpe-con01b,0.762115
test-environment-aeghhgwpe-con01a,3,test-environment-aeghhgwpe-pro03b,0.658435
test-environment-aeghhgwpe-con01a,4,test-environment-aeghhgwpe-pro02b,0.641208
test-environment-aeghhgwpe-con01a,5,test-environment-aeghhgwpe-pro02a,0.638247
test-environment-aeghhgwpe-con01a,6,test-environment-aeghhgwpe-pro04b,0.623992
test-environment-aeghhgwpe-con01a,7,training-environment-aelmmhbahr-con01b,0.623804
test-environment-aeghhgwpe-con01a,8,test-environment-aeghhgwpe-pro03a,0.615584
test-environment-aeghhgwpe-con01a,9,test-environment-aeghhgwpe-pro01a,0.608732
test-environment-aeghhgwpe-con01a,10,training-environment-aelmmhbahr-con01a,0.596281
test-environment-assgbatj-pro02a,1,test-philosophy-apessghwba-con05a,0.805250
test-environment-assgbatj-pro02a,2,test-philosophy-apessghwba-pro02a,0.800023
test-environment-assgbatj-pro02a,3,test-environment-assgbatj-con05a,0.786005
test-environment-assgbatj-pro02a,4,test-philosophy-apessghwba-pro03b,0.750496
test-environment-assgbatj-pro02a,5,test-philosophy-apessghwba-con03b,0.748065
test-environment-assgbatj-pro02a,6,test-philosophy-apessghwba-pro05b,0.745364
test-environment-assgbatj-pro02a,7,test-philosophy-apessghwba-pro03a,0.744067
test-environment-assgbatj-pro02a,8,test-environment-assgbatj-pro03b,0.719783
test-environment-assgbatj-pro02a,9,test-science-eassgbatj-pro03b,0.718162
test-environment-assgbatj-pro02a,10,test-science-eassgbatj-pro02b,0.710952
test-environment-assgbatj-pro05a,1,test-philosophy-apessghwba-pro05a,0.791482
test-environment-assgbatj-pro05a,2,training-environment-ahwbsawhnbsf-pro02a,0.755125
test-environment-assgbatj-pro05a,3,test-environment-assgbatj-con04b,0.746905
test-environment-assgbatj-pro05a,4,test-science-eassgbatj-con04b,0.738987
test-environment-assgbatj-pro05a,5,test-science-eassgbatj-pro01b,0.707525
test-environment-assgbatj-pro05a,6,test-environment-assgbatj-pro01b,0.705174
test-environment-assgbatj-pro05a,7,test-philosophy-apessghwba-con04b,0.704976
test-environment-assgbatj-pro05a,8,test-environment-assgbatj-pro03b,0.702383
test-environment-assgbatj-pro05a,9,test-science-eassgbatj-pro03b,0.695540
test-environment-assgbatj-pro05a,10,test-philosophy-apessghwba-pro02a,0.681605
test-environment-assgbatj-pro01a,1,test-philosophy-apessghwba-pro01a,0.895584
test-environment-assgbatj-pro01a,2,training-environment-aelmmhbahr-pro04a,0.751016
test-environment-assgbatj-pro01a,3,validation-environment-rahwbuaosae-pro01a,0.709764
test-environment-assgbatj-pro01a,4,training-environment-aelmmhbahr-pro03b,0.650772
test-environment-assgbatj-pro01a,5,test-philosophy-apessghwba-pro01b,0.628129
test-environment-assgbatj-pro01a,6,training-environment-aelmmhbahr-con01b,0.619735
test-environment-assgbatj-pro01a,7,training-environment-aelmmhbahr-pro01a,0.594954
test-environment-assgbatj-pro01a,8,test-philosophy-apessghwba-con01a,0.593857
test-environment-assgbatj-pro01a,9,test-environment-assgbatj-con01a,0.581396
test-environment-assgbatj-pro01a,10,training-environment-aelmmhbahr-pro03a,0.572497
test-environment-assgbatj-pro03a,1,test-philosophy-apessghwba-pro03a,0.793679
test-environment-assgbatj-pro03a,2,test-philosophy-apessghwba-con02b,0.771642
test-environment-assgbatj-pro03a,3,test-environment-assgbatj-con02b,0.731548
test-environment-assgbatj-pro03a,4,test-environment-assgbatj-con03a,0.729549
test-environment-assgbatj-pro03a,5,test-science-eassgbatj-con02b,0.726307
test-environment-assgbatj-pro03a,6,test-environment-assgbatj-con02a,0.680647
test-environment-assgbatj-pro03a,7,test-science-eassgbatj-con03b,0.673722
test-environment-assgbatj-pro03a,8,test-philosophy-apessghwba-con03a,0.673545
test-environment-assgbatj-pro03a,9,test-philosophy-apessghwba-con02a,0.668921
test-environment-assgbatj-pro03a,10,test-environment-assgbatj-con03b,0.668256
test-environment-assgbatj-pro04a,1,test-philosophy-apessghwba-pro04a,0.810312
