query_id,rep,e2e_ms
test-environment-aeghhgwpe-pro02a,0,59.0765
test-environment-aeghhgwpe-pro02a,1,48.5557
test-environment-aeghhgwpe-pro02a,2,48.4665
test-environment-aeghhgwpe-pro01a,0,66.5561
test-environment-aeghhgwpe-pro01a,1,50.1478
test-environment-aeghhgwpe-pro01a,2,48.3516
test-environment-aeghhgwpe-pro03a,0,49.9135
test-environment-aeghhgwpe-pro03a,1,47.2267
test-environment-aeghhgwpe-pro03a,2,47.3327
test-environment-aeghhgwpe-pro04a,0,56.1580
test-environment-aeghhgwpe-pro04a,1,46.7652
test-environment-aeghhgwpe-pro04a,2,46.9561
test-environment-aeghhgwpe-con02a,0,59.2612
test-environment-aeghhgwpe-con02a,1,49.3995
test-environment-aeghhgwpe-con02a,2,47.9170
test-environment-aeghhgwpe-con03a,0,56.7858
test-environment-aeghhgwpe-con03a,1,48.6499
test-environment-aeghhgwpe-con03a,2,47.2958
test-environment-aeghhgwpe-con01a,0,55.5653
test-environment-aeghhgwpe-con01a,1,46.8028
test-environment-aeghhgwpe-con01a,2,47.2697
test-environment-assgbatj-pro02a,0,64.8752
test-environment-assgbatj-pro02a,1,47.8943
test-environment-assgbatj-pro02a,2,53.3444
test-environment-assgbatj-pro05a,0,66.0491
test-environment-assgbatj-pro05a,1,48.7393
test-environment-assgbatj-pro05a,2,49.7259
test-environment-assgbatj-pro01a,0,51.0356
test-environment-assgbatj-pro01a,1,47.8133
test-environment-assgbatj-pro01a,2,47.0512
test-environment-assgbatj-pro03a,0,54.7499
test-environment-assgbatj-pro03a,1,48.4713
test-environment-assgbatj-pro03a,2,47.6429
test-environment-assgbatj-pro04a,0,52.8953
test-environment-assgbatj-pro04a,1,47.4507
test-environment-assgbatj-pro04a,2,47.6233
test-environment-assgbatj-con02a,0,60.3774
test-environment-assgbatj-con02a,1,52.7161
test-environment-assgbatj-con02a,2,48.6004
test-environment-assgbatj-con05a,0,52.4488
test-environment-assgbatj-con05a,1,52.5670
test-environment-assgbatj-con05a,2,47.3140
test-environment-assgbatj-con04a,0,52.5350
test-environment-assgbatj-con04a,1,47.5940
test-environment-assgbatj-con04a,2,47.4497
test-environment-assgbatj-con03a,0,58.7197
test-environment-assgbatj-con03a,1,50.3046
test-environment-assgbatj-con03a,2,48.4585
test-environment-assgbatj-con01a,0,54.8400
test-environment-assgbatj-con01a,1,47.4398
test-environment-assgbatj-con01a,2,48.5467
test-environment-aiahwagit-pro02a,0,59.3657
test-environment-aiahwagit-pro02a,1,49.3817
test-environment-aiahwagit-pro02a,2,49.5988
test-environment-aiahwagit-pro05a,0,52.6580
test-environment-aiahwagit-pro05a,1,50.3444
test-environment-aiahwagit-pro05a,2,48.2909
test-environment-aiahwagit-pro01a,0,59.0503
test-environment-aiahwagit-pro01a,1,49.5236
test-environment-aiahwagit-pro01a,2,48.7858
test-environment-aiahwagit-pro03a,0,120.8657
